"Id","Player","FantPt","Season","Age","Team","G","GS","FantPt","PPR","FantPt","PPR/G","Pos"
272,"Treylon Burks","3.5",2024,24,"TEN",5,2,"3.5","7.5","0.7","1.5","WR"
273,"Amari Burney","0.0",2024,24,"LVR",17,0,"0.0","0.0","0.00","0.00","LB"
274,"Artie Burns","0.0",2024,29,"SEA",4,0,"0.0","0.0","0.00","0.00","CB"
275,"Brian Burns","0.0",2024,26,"NYG",17,17,"0.0","0.0","0.00","0.00","LOLB"
276,"Joe Burrow","372.8",2024,28,"CIN",17,17,"372.8","372.8","21.93","21.93","QB"
277,"Jermaine Burton","10.7",2024,23,"CIN",14,1,"10.7","14.7","0.76","1.05","WR"
278,"Michael Burton","19.3",2024,32,"DEN",17,2,"19.3","29.3","1.14","1.72","FB"
279,"Deon Bush","0.0",2024,31,"KAN",2,0,"0.0","0.0","0.00","0.00","DB"
280,"Devin Bush Jr.","0.0",2024,26,"CLE",16,10,"0.0","0.0","0.00","0.00","LLB"
281,"Harrison Butker","96.0",2024,29,"KAN",13,0,"96.0","96.0","7.38","7.38","K"
282,"Adam Butler","0.0",2024,30,"LVR",17,16,"0.0","0.0","0.00","0.00","RDT"
283,"Josh Butler","0.0",2024,28,"DAL",5,3,"0.0","0.0","0.00","0.00","CB"
284,"Matthew Butler","0.0",2024,25,"LVR",7,1,"0.0","0.0","0.00","0.00","DT"
285,"Percy Butler","0.0",2024,24,"WAS",17,5,"0.0","0.0","0.00","0.00","S"
286,"Kevin Byard","0.0",2024,31,"CHI",17,17,"0.0","0.0","0.00","0.00","SS"
287,"Camryn Bynum","0.0",2024,26,"MIN",17,17,"0.0","0.0","0.00","0.00","FS"
288,"Solomon Byrd","0.0",2024,25,"HOU",1,0,"0.0","0.0","0.00","0.00","DE"
289,"Grant Calcaterra","35.8",2024,26,"PHI",17,13,"35.8","59.8","2.11","3.52","TE"
290,"Mike Caliendo","0.5",2024,27,"KAN",17,3,"0.5","1.5","0.03","0.09","OL"
291,"Marquez Callaway","0.0",2024,26,"TAM",2,0,"0.0","0.0","0.00","0.00","WR"
292,"Jake Camarda","0.0",2024,25,"TAM",4,0,"0.0","0.0","0.00","0.00","P"
293,"Calais Campbell","0.0",2024,38,"MIA",17,17,"0.0","0.0","0.00","0.00","NT"
294,"De'Vondre Campbell","0.0",2024,31,"SFO",13,12,"0.0","0.0","0.00","0.00","LLB"
295,"Elijah Campbell","0.0",2024,29,"MIA",17,1,"0.0","0.0","0.00","0.00","DB"
296,"Jack Campbell","0.0",2024,24,"DET",17,17,"0.0","0.0","0.00","0.00","MLB"
297,"Parris Campbell","9.0",2024,27,"PHI",5,0,"9.0","15.0","1.8","3.00","WR"
298,"Tyson Campbell","0.0",2024,24,"JAX",12,12,"0.0","0.0","0.00","0.00","RCB"
299,"Alex Cappa","0.0",2024,29,"CIN",17,17,"0.0","0.0","0.00","0.00","RG"
300,"Joe Cardona","0.0",2024,32,"NWE",16,0,"0.0","0.0","0.00","0.00","LS"
301,"Jaylon Carlies","0.0",2024,23,"IND",10,6,"0.0","0.0","0.00","0.00","LB"
302,"Anders Carlson","57.0",2024,26,"NYJ,SFO",7,0,"57.0","57.0","8.14","8.14","K"
303,"Daniel Carlson","139.0",2024,29,"LVR",17,0,"139.0","139.0","8.18","8.18","K"
304,"Jackson Carman","0.0",2024,24,"MIA",8,1,"0.0","0.0","0.00","0.00","T"
305,"Derek Carr","150.9",2024,33,"NOR",10,10,"150.9","150.9","15.09","15.09","QB"
306,"Caelen Carson","0.0",2024,22,"DAL",6,5,"0.0","0.0","0.00","0.00","CB"
307,"Andre Carter II","0.0",2024,24,"LVR",3,0,"0.0","0.0","0.00","0.00","DE"
308,"DeAndre Carter","5.2",2024,31,"CHI",13,0,"5.2","14.2","0.4","1.09","WR"
309,"DeWayne Carter","0.0",2024,24,"BUF",11,3,"0.0","0.0","0.00","0.00","DT"
310,"Jalen Carter","0.0",2024,23,"PHI",16,15,"0.0","0.0","0.00","0.00","LDT"
311,"Lorenzo Carter","0.0",2024,29,"ATL",13,11,"0.0","0.0","0.00","0.00","LOLB"
312,"Michael Carter II","0.0",2024,25,"NYJ",13,1,"0.0","0.0","0.00","0.00","CB"
313,"Michael Carter","24.8",2024,25,"ARI",3,1,"24.8","35.8","8.27","11.93","RB"
314,"Zachary Carter","0.0",2024,25,"CIN,LVR",12,2,"0.0","0.0","0.00","0.00","DT"
315,"Blake Cashman","0.0",2024,28,"MIN",14,14,"0.0","0.0","0.00","0.00","RILB"
316,"Tariq Castro-Fields","0.0",2024,25,"CAR",2,0,"0.0","0.0","0.00","0.00","CB"
317,"Joshua Cephus","0.0",2024,23,"JAX",1,0,"0.0","0.0","0.00","0.00","WR"
318,"Andre Chachere","0.0",2024,28,"ARI",3,0,"0.0","0.0","0.00","0.00","S"
319,"K'Lavon Chaisson","0.0",2024,25,"LVR",15,4,"0.0","0.0","0.00","0.00","DE"
320,"Ty Chandler","22.4",2024,26,"MIN",17,0,"22.4","28.4","1.32","1.67","RB"
321,"Zach Charbonnet","144.9",2024,23,"SEA",17,6,"144.9","186.9","8.52","10.99","RB"
322,"DJ Chark","9.1",2024,28,"LAC",7,0,"9.1","13.1","1.3","1.87","WR"
323,"Irvin Charles","0.0",2024,27,"NYJ",13,0,"0.0","0.0","0.00","0.00","WR"
324,"Ja'Marr Chase","276.0",2024,24,"CIN",17,16,"276.0","403.0","16.24","23.71","WR"
325,"Elijah Chatman","0.0",2024,24,"NYG",17,3,"0.0","0.0","0.00","0.00","DT"
326,"Leo Chenal","0.0",2024,24,"KAN",17,14,"0.0","0.0","0.00","0.00","RLB"
327,"Claudin Cherelus","0.0",2024,26,"CAR",13,2,"0.0","0.0","0.00","0.00","LB"
328,"Julius Chestnut","11.3",2024,24,"TEN",17,0,"11.3","13.3","0.66","0.78","RB"
329,"Jeremy Chinn","0.0",2024,26,"WAS",17,17,"0.0","0.0","0.00","0.00","FS"
330,"Dan Chisena","3.7",2024,27,"CAR",6,0,"3.7","6.7","0.62","1.12","WR"
331,"Robbie Chosen","0.5",2024,31,"MIA",2,0,"0.5","1.5","0.25","0.75","WR"
332,"Brady Christensen","0.0",2024,28,"CAR",17,6,"0.0","0.0","0.00","0.00","G"
333,"Geron Christian","0.0",2024,28,"CLE,LAR",5,0,"0.0","0.0","0.00","0.00","OT"
334,"Cole Christiansen","0.0",2024,27,"KAN",9,0,"0.0","0.0","0.00","0.00","LB"
335,"Nick Chubb","58.3",2024,29,"CLE",8,8,"58.3","63.3","7.29","7.91","RB"
336,"Lewis Cine","0.0",2024,25,"BUF",1,0,"0.0","0.0","0.00","0.00","S"
337,"Andre Cisco","0.0",2024,24,"JAX",16,14,"0.0","0.0","0.00","0.00","SS"
338,"Will Clapp","0.0",2024,29,"BUF",1,1,"0.0","0.0","0.00","0.00","OL"
339,"Chuck Clark","0.0",2024,29,"NYJ",12,12,"0.0","0.0","0.00","0.00","SS"
340,"Damone Clark","0.0",2024,24,"DAL",14,2,"0.0","0.0","0.00","0.00","LB"
341,"Kei'Trel Clark","0.0",2024,23,"ARI",15,1,"0.0","0.0","0.00","0.00","CB"
342,"Kenny Clark","0.0",2024,29,"GNB",17,17,"0.0","0.0","0.00","0.00","RDT"
343,"Micheal Clemons","0.0",2024,27,"NYJ",17,17,"0.0","0.0","0.00","0.00","LOLB"
344,"Ben Cleveland","0.0",2024,26,"BAL",17,0,"0.0","0.0","0.00","0.00","G"
345,"Ezra Cleveland","0.0",2024,26,"JAX",15,15,"0.0","0.0","0.00","0.00","LG"
346,"Kameron Cline","0.0",2024,26,"BUF",1,0,"0.0","0.0","0.00","0.00","DE"
347,"Jadeveon Clowney","0.0",2024,31,"CAR",14,14,"0.0","0.0","0.00","0.00","ROLB"
348,"Keondre Coburn","0.0",2024,24,"TEN",15,1,"0.0","0.0","0.00","0.00","DL"
349,"Devin Cochran","0.0",2024,26,"CIN",9,1,"0.0","0.0","0.00","0.00","OT"
350,"Jack Cochrane","0.0",2024,25,"KAN",15,0,"0.0","0.0","0.00","0.00","LB"
351,"Brandon Codrington","0.0",2024,24,"BUF",17,0,"0.0","0.0","0.00","0.00","DB"
352,"Javion Cohen","0.0",2024,22,"CLE",1,0,"0.0","0.0","0.00","0.00","G"
353,"Jalen Coker","60.6",2024,23,"CAR",11,4,"60.6","92.6","5.51","8.42","WR"
354,"Adrian Colbert","0.0",2024,31,"CHI",5,0,"0.0","0.0","0.00","0.00","DB"
355,"AJ Cole III","1.4",2024,29,"LVR",17,0,"1.4","1.4","0.08","0.08","P"
356,"Myles Cole","0.0",2024,24,"JAX",8,0,"0.0","0.0","0.00","0.00","DE"
357,"Brandon Coleman","0.0",2024,24,"WAS",16,12,"0.0","0.0","0.00","0.00","LT"
358,"DJ Coleman","0.0",2024,26,"JAX",1,0,"0.0","0.0","0.00","0.00","DE"
359,"Keon Coleman","82.5",2024,21,"BUF",13,12,"82.5","111.5","6.35","8.58","WR"
360,"Chris Collier","0.8",2024,24,"LVR,BAL",8,0,"0.8","1.8","0.1","0.23","RB"
361,"L.J. Collier","0.0",2024,29,"ARI",17,15,"0.0","0.0","0.00","0.00","LDE"
362,"Maliek Collins","0.0",2024,29,"SFO",17,17,"0.0","0.0","0.00","0.00","LDT"
363,"Nico Collins","142.6",2024,25,"HOU",12,12,"142.6","210.6","11.88","17.55","WR"
364,"Zaven Collins","0.0",2024,25,"ARI",17,17,"0.0","0.0","0.00","0.00","LOLB"
365,"Trystan Colon-Castillo","0.0",2024,26,"ARI",17,7,"0.0","0.0","0.00","0.00","RG"
366,"Junior Colson","0.0",2024,22,"LAC",11,1,"0.0","0.0","0.00","0.00","LB"
367,"Jack Conklin","0.0",2024,30,"CLE",12,12,"0.0","0.0","0.00","0.00","RT"
368,"Tyler Conklin","70.9",2024,29,"NYJ",16,15,"70.9","121.9","4.43","7.62","TE"
369,"Chris Conley","7.6",2024,32,"SFO",15,2,"7.6","13.6","0.51","0.91","WR"
370,"Chamarri Conner","0.0",2024,24,"KAN",15,9,"0.0","0.0","0.00","0.00","DB"
371,"James Conner","206.8",2024,29,"ARI",16,16,"206.8","253.8","12.93","15.86","RB"
372,"Tanner Conner","1.6",2024,26,"MIA",8,1,"1.6","4.6","0.2","0.58","TE"
373,"Bryan Cook","0.0",2024,25,"KAN",17,17,"0.0","0.0","0.00","0.00","FS"
374,"Dalvin Cook","3.0",2024,29,"DAL",2,0,"3.0","4.0","1.5","2.00","RB"
375,"James Cook","234.7",2024,25,"BUF",16,16,"234.7","266.7","14.67","16.67","RB"
376,"Logan Cooke","0.0",2024,29,"JAX",17,0,"0.0","0.0","0.00","0.00","P"
377,"Brandin Cooks","43.6",2024,31,"DAL",10,9,"43.6","69.6","4.36","6.96","WR"
378,"Elijah Cooks","0.0",2024,26,"JAX",2,0,"0.0","0.0","0.00","0.00","WR"
379,"Amari Cooper","78.7",2024,30,"BUF,CLE",14,10,"78.7","122.7","5.62","8.76","WR"
380,"Bump Cooper","0.0",2024,23,"BAL",1,0,"0.0","0.0","0.00","0.00","CB"
381,"Edgerrin Cooper","0.0",2024,23,"GNB",14,4,"0.0","0.0","0.00","0.00","LB"
382,"Jonathon Cooper","0.0",2024,26,"DEN",17,17,"0.0","0.0","0.00","0.00","LOLB"
383,"Austin Corbett","0.0",2024,29,"CAR",5,5,"0.0","0.0","0.00","0.00","C"
384,"Malachi Corley","2.2",2024,22,"NYJ",9,1,"2.2","5.2","0.24","0.58","WR"
385,"Blake Corum","26.5",2024,24,"LAR",17,1,"26.5","33.5","1.56","1.97","RB"
386,"Samuel Cosmi","0.0",2024,25,"WAS",17,17,"0.0","0.0","0.00","0.00","RG"
387,"Lester Cotton","0.0",2024,28,"MIA,NWE",14,0,"0.0","0.0","0.00","0.00","OL"
388,"Carter Coughlin","0.0",2024,27,"NYG",1,0,"0.0","0.0","0.00","0.00","LB"
389,"Kirk Cousins","176.3",2024,36,"ATL",14,14,"176.3","176.3","12.59","12.59","QB"
390,"Britain Covey","3.4",2024,27,"PHI",5,1,"3.4","10.4","0.68","2.08","WR"
391,"Byron Cowart","0.0",2024,28,"CHI",15,7,"0.0","0.0","0.00","0.00","DT"
392,"Jacob Cowing","6.7",2024,23,"SFO",15,0,"6.7","10.7","0.45","0.71","WR"
393,"Brenton Cox","0.0",2024,24,"GNB",7,0,"0.0","0.0","0.00","0.00","DL"
394,"Morgan Cox","0.0",2024,38,"TEN",17,0,"0.0","0.0","0.00","0.00","LS"
395,"River Cracraft","6.6",2024,30,"MIA",8,0,"6.6","13.6","0.83","1.7","WR"
396,"Maxx Crosby","0.0",2024,27,"LVR",12,12,"0.0","0.0","0.00","0.00","RDE"
397,"Charles Cross","0.0",2024,24,"SEA",17,17,"0.0","0.0","0.00","0.00","LT"
398,"Nick Cross","0.0",2024,23,"IND",17,17,"0.0","0.0","0.00","0.00","SS"
399,"Jamison Crowder","17.2",2024,31,"WAS",6,1,"17.2","26.2","2.87","4.37","WR"
400,"Dane Cruikshank","0.0",2024,29,"ATL",2,0,"0.0","0.0","0.00","0.00","S"
401,"Frank Crum","0.0",2024,24,"DEN",6,0,"0.0","0.0","0.00","0.00","OT"
402,"Jaden Crumedy","0.0",2024,24,"CAR",5,0,"0.0","0.0","0.00","0.00","DT"
403,"Devin Culp","8.8",2024,24,"TAM",5,0,"8.8","13.8","1.76","2.76","TE"
404,"Zach Cunningham","0.0",2024,30,"DEN",7,0,"0.0","0.0","0.00","0.00","LB"
405,"Baylor Cupp","0.0",2024,24,"KAN",1,0,"0.0","0.0","0.00","0.00","TE"
406,"Jake Curhan","0.0",2024,26,"CHI",10,2,"0.0","0.0","0.00","0.00","OL"
407,"Kamren Curl","0.0",2024,25,"LAR",16,16,"0.0","0.0","0.00","0.00","FS"
408,"McClendon Curtis","0.0",2024,25,"SEA",4,0,"0.0","0.0","0.00","0.00","OT"
409,"Lloyd Cushenberry III","0.0",2024,27,"TEN",8,8,"0.0","0.0","0.00","0.00","C"
410,"DeeJay Dallas","18.0",2024,26,"ARI",17,0,"18.0","21.0","1.06","1.24","RB"
411,"Drew Dalman","0.0",2024,26,"ATL",9,9,"0.0","0.0","0.00","0.00","C"
412,"Andy Dalton","59.0",2024,37,"CAR",6,5,"59.0","59.0","9.83","9.83","QB"
413,"Scott Daly","0.0",2024,30,"CHI",17,0,"0.0","0.0","0.00","0.00","LS"
414,"James Daniels","0.0",2024,27,"PIT",4,4,"0.0","0.0","0.00","0.00","OL"
415,"Jayden Daniels","355.8",2024,24,"WAS",17,17,"355.8","355.8","20.93","20.93","QB"
416,"Michael Danna","0.0",2024,27,"KAN",13,12,"0.0","0.0","0.00","0.00","RDE"
417,"Ronald Darby","0.0",2024,30,"JAX",13,12,"0.0","0.0","0.00","0.00","LCB"
418,"Jaelon Darden","0.6",2024,25,"CLE,SEA",12,1,"0.6","1.6","0.05","0.13","WR"
419,"Sam Darnold","308.0",2024,27,"MIN",17,17,"308.0","308.0","18.12","18.12","QB"
420,"Christian Darrisaw","0.0",2024,25,"MIN",7,7,"0.0","0.0","0.00","0.00","T"
421,"Marcus Davenport","0.0",2024,28,"DET",2,1,"0.0","0.0","0.00","0.00","DL"
422,"Lavonte David","0.0",2024,34,"TAM",17,17,"0.0","0.0","0.00","0.00","LILB"
423,"D.J. Davidson","0.0",2024,25,"NYG",12,2,"0.0","0.0","0.00","0.00","DL"
424,"Zach Davidson","0.5",2024,26,"BUF",2,0,"0.5","1.5","0.25","0.75","TE"
425,"Ashtyn Davis","2.1",2024,28,"NYJ",15,1,"2.1","2.1","0.14","0.14","S"
426,"Carl Davis","0.0",2024,32,"WAS",3,0,"0.0","0.0","0.00","0.00","DE"
427,"Carlton Davis","0.0",2024,28,"DET",13,13,"0.0","0.0","0.00","0.00","LCB"
428,"Demario Davis","0.0",2024,35,"NOR",16,16,"0.0","0.0","0.00","0.00","MLB"
429,"Derius Davis","27.1",2024,24,"LAC",15,2,"27.1","40.1","1.81","2.67","WR"
430,"Gabriel Davis","33.9",2024,25,"JAX",10,9,"33.9","53.9","3.39","5.39","WR"
431,"Isaiah Davis","36.9",2024,22,"NYJ",17,0,"36.9","45.9","2.17","2.7","RB"
432,"Jalen Davis","0.0",2024,28,"CIN",2,0,"0.0","0.0","0.00","0.00","CB"
433,"Jamin Davis","0.0",2024,26,"MIN,WAS",9,0,"0.0","0.0","0.00","0.00","LB"
434,"Jordan Davis","0.0",2024,24,"PHI",17,17,"0.0","0.0","0.00","0.00","RDT"
435,"Kaden Davis","0.0",2024,26,"CLE",1,0,"0.0","0.0","0.00","0.00","WR"
436,"Kalia Davis","0.0",2024,26,"SFO",13,0,"0.0","0.0","0.00","0.00","DL"
437,"Khalil Davis","0.0",2024,28,"HOU,SFO",12,0,"0.0","0.0","0.00","0.00","DT"
438,"Michael Davis","0.0",2024,29,"WAS",15,2,"0.0","0.0","0.00","0.00","CB"
439,"Nate Davis","0.0",2024,28,"CHI",5,2,"0.0","0.0","0.00","0.00","OL"
440,"Raekwon Davis","0.0",2024,27,"IND",17,0,"0.0","0.0","0.00","0.00","DT"
441,"Ray Davis","99.1",2024,25,"BUF",17,0,"99.1","116.1","5.83","6.83","RB"
442,"Tyler Davis","0.0",2024,24,"LAR",16,0,"0.0","0.0","0.00","0.00","DL"
443,"Akeem Davis-Gaither","0.0",2024,27,"CIN",17,7,"0.0","0.0","0.00","0.00","RLB"
444,"Tyrion Davis-Price","0.7",2024,24,"PHI",1,0,"0.7","0.7","0.7","0.7","RB"
445,"Dion Dawkins","0.0",2024,30,"BUF",16,16,"0.0","0.0","0.00","0.00","LT"
446,"Sheldon Day","0.0",2024,30,"WAS",12,0,"0.0","0.0","0.00","0.00","DT"
447,"Divine Deablo","3.4",2024,26,"LVR",14,14,"3.4","4.4","0.24","0.31","LLB"
448,"Jamel Dean","0.0",2024,28,"TAM",12,12,"0.0","0.0","0.00","0.00","LCB"
449,"Nakobe Dean","0.0",2024,24,"PHI",15,15,"0.0","0.0","0.00","0.00","MLB"
450,"Taylor Decker","0.0",2024,31,"DET",14,14,"0.0","0.0","0.00","0.00","LT"
451,"Evan Deckers","0.0",2024,25,"TAM",11,0,"0.0","0.0","0.00","0.00","LS"
452,"Austin Deculus","0.0",2024,25,"HOU",1,0,"0.0","0.0","0.00","0.00","OT"
453,"Justin Dedich","0.0",2024,24,"LAR",13,3,"0.0","0.0","0.00","0.00","OL"
454,"Branson Deen","0.0",2024,24,"BUF",1,0,"0.0","0.0","0.00","0.00","DT"
455,"Josiah Deguara","1.4",2024,27,"JAX",15,0,"1.4","4.4","0.09","0.29","TE"
456,"Michael Deiter","0.0",2024,28,"WAS",17,2,"0.0","0.0","0.00","0.00","G"
457,"Cooper DeJean","0.0",2024,21,"PHI",16,9,"0.0","0.0","0.00","0.00","DB"
458,"Tank Dell","89.0",2024,25,"HOU",14,10,"89.0","140.0","6.36","10.00","WR"
459,"Grant Delpit","0.0",2024,26,"CLE",16,16,"0.0","0.0","0.00","0.00","SS"
460,"Emari Demercado","38.7",2024,25,"ARI",13,0,"38.7","54.7","2.98","4.21","RB"
461,"Trevor Denbow","0.0",2024,26,"IND",8,0,"0.0","0.0","0.00","0.00","S"
462,"SirVocea Dennis","0.0",2024,24,"TAM",4,0,"0.0","0.0","0.00","0.00","LB"
463,"Andrew DePaola","0.0",2024,37,"MIN",13,0,"0.0","0.0","0.00","0.00","LS"
464,"Tommy DeVito","13.5",2024,26,"NYG",3,2,"13.5","13.5","4.5","4.5","QB"
465,"Gervon Dexter","0.0",2024,23,"CHI",15,15,"0.0","0.0","0.00","0.00","RDT"
466,"Mohamoud Diabate","0.0",2024,23,"CLE",13,11,"0.0","0.0","0.00","0.00","RLB"
467,"YaYa Diaby","0.0",2024,25,"TAM",17,17,"0.0","0.0","0.00","0.00","OLB"
468,"Marcellas Dial","0.0",2024,24,"NWE",17,1,"0.0","0.0","0.00","0.00","DB"
469,"Cameron Dicker","168.0",2024,24,"LAC",17,0,"168.0","168.0","9.88","9.88","K"
470,"Landon Dickerson","0.0",2024,26,"PHI",16,16,"0.0","0.0","0.00","0.00","LG"
471,"Matt Dickerson","0.0",2024,29,"MIA",4,0,"0.0","0.0","0.00","0.00","DE"
472,"Michael Dickson","0.0",2024,28,"SEA",17,0,"0.0","0.0","0.00","0.00","P"
473,"Quandre Diggs","0.0",2024,31,"TEN",8,8,"0.0","0.0","0.00","0.00","SS"
474,"Stefon Diggs","74.9",2024,31,"HOU",8,8,"74.9","121.9","9.36","15.24","WR"
475,"Trevon Diggs","0.0",2024,26,"DAL",11,11,"0.0","0.0","0.00","0.00","RCB"
476,"Andre Dillard","0.0",2024,29,"GNB",10,0,"0.0","0.0","0.00","0.00","T"
477,"Victor Dimukeje","0.0",2024,25,"ARI",11,0,"0.0","0.0","0.00","0.00","OLB"
478,"Will Dissly","60.1",2024,28,"LAC",15,8,"60.1","110.1","4.01","7.34","TE"
479,"Riley Dixon","0.1",2024,31,"DEN",17,0,"0.1","0.1","0.01","0.01","P"
480,"J.K. Dobbins","159.8",2024,26,"LAC",13,11,"159.8","191.8","12.29","14.75","RB"
481,"Joshua Dobbs","30.8",2024,29,"SFO",2,1,"30.8","30.8","15.4","15.4","QB"
482,"Tyrel Dodson","0.0",2024,26,"MIA,SEA",17,12,"0.0","0.0","0.00","0.00","LB"
483,"Brandon Dorlus","0.0",2024,23,"ATL",2,0,"0.0","0.0","0.00","0.00","DT"
484,"Khalil Dorsey","0.0",2024,26,"DET",14,1,"0.0","0.0","0.00","0.00","CB"
485,"Greg Dortch","53.3",2024,26,"ARI",17,4,"53.3","90.3","3.14","5.31","WR"
486,"Jahan Dotson","22.9",2024,24,"PHI",17,6,"22.9","41.9","1.35","2.46","WR"
487,"Kevin Dotson","0.0",2024,28,"LAR",16,16,"0.0","0.0","0.00","0.00","RG"
488,"Romeo Doubs","86.1",2024,24,"GNB",13,12,"86.1","132.1","6.62","10.16","WR"
489,"Demario Douglas","81.7",2024,24,"NWE",17,7,"81.7","147.7","4.81","8.69","WR"
490,"Rasul Douglas","0.0",2024,29,"BUF",15,15,"0.0","0.0","0.00","0.00","LCB"
491,"Rico Dowdle","158.8",2024,26,"DAL",16,15,"158.8","197.8","9.93","12.36","RB"
492,"Josh Downs","111.5",2024,23,"IND",14,8,"111.5","183.5","7.96","13.11","WR"
493,"Jack Driscoll","0.0",2024,27,"PHI",13,1,"0.0","0.0","0.00","0.00","OL"
494,"Jeff Driskel","0.0",2024,31,"WAS",1,0,"0.0","0.0","0.00","0.00","QB"
495,"Ethan Driskell","0.0",2024,24,"KAN",2,0,"0.0","0.0","0.00","0.00","OT"
496,"Grant Dubose","1.1",2024,23,"MIA",3,0,"1.1","3.1","0.37","1.03","WR"
497,"Storm Duck","0.0",2024,24,"MIA",14,3,"0.0","0.0","0.00","0.00","CB"
498,"Kyle Dugger","0.0",2024,28,"NWE",13,13,"0.0","0.0","0.00","0.00","FS"
499,"Khalid Duke","0.0",2024,23,"TEN",2,0,"0.0","0.0","0.00","0.00","OLB"
500,"Greg Dulcich","2.8",2024,24,"DEN,NYG",9,3,"2.8","7.8","0.31","0.87","TE"
501,"Ashton Dulin","17.2",2024,27,"IND",15,2,"17.2","19.2","1.15","1.28","WR"
502,"Jaelyn Duncan","0.0",2024,24,"TEN",5,3,"0.0","0.0","0.00","0.00","OT"
503,"Michael Dunn","0.0",2024,30,"CLE",13,3,"0.0","0.0","0.00","0.00","G"
504,"Bud Dupree","0.0",2024,31,"LAC",17,0,"0.0","0.0","0.00","0.00","OLB"
505,"Cobie Durant","0.0",2024,26,"LAR",15,14,"0.0","0.0","0.00","0.00","RCB"
506,"Cory Durden","0.0",2024,25,"NYG",4,0,"0.0","0.0","0.00","0.00","NT"
507,"Payne Durham","23.5",2024,24,"TAM",16,6,"23.5","34.5","1.47","2.16","TE"
508,"Devin Duvernay","8.2",2024,27,"JAX",13,1,"8.2","19.2","0.63","1.48","WR"
509,"Ross Dwelley","0.5",2024,29,"ATL",17,0,"0.5","1.5","0.03","0.09","TE"
510,"Michael Dwumfour","0.0",2024,26,"CLE",1,0,"0.0","0.0","0.00","0.00","DT"
511,"Troy Dye","0.0",2024,28,"LAC",17,5,"0.0","0.0","0.00","0.00","LB"
512,"Kenny Dyson","0.0",2024,23,"CAR",2,0,"0.0","0.0","0.00","0.00","OLB"
513,"Arnold Ebiketie","0.0",2024,25,"ATL",17,2,"0.0","0.0","0.00","0.00","OLB"
514,"Justin Eboigbe","0.0",2024,23,"LAC",5,0,"0.0","0.0","0.00","0.00","DL"
515,"Brandin Echols","0.0",2024,27,"NYJ",16,4,"0.0","0.0","0.00","0.00","CB"
516,"Chris Edmonds","0.0",2024,23,"CLE",2,0,"0.0","0.0","0.00","0.00","DB"
517,"Terrell Edmunds","0.0",2024,27,"JAX,PIT",6,0,"0.0","0.0","0.00","0.00","S"
518,"Tremaine Edmunds","0.0",2024,26,"CHI",17,17,"0.0","0.0","0.00","0.00","MLB"
519,"Chuma Edoga","0.0",2024,27,"DAL",5,4,"0.0","0.0","0.00","0.00","G"
520,"David Edwards","0.0",2024,27,"BUF",16,16,"0.0","0.0","0.00","0.00","LG"
521,"Gus Edwards","61.1",2024,29,"LAC",11,6,"61.1","64.1","5.55","5.83","RB"
522,"Mario Edwards","0.0",2024,30,"HOU",13,12,"0.0","0.0","0.00","0.00","DT"
523,"Mike Edwards","0.0",2024,28,"BUF,TAM",8,2,"0.0","0.0","0.00","0.00","S"
524,"T.J. Edwards","0.0",2024,28,"CHI",17,17,"0.0","0.0","0.00","0.00","LLB"
525,"Clyde Edwards-Helaire","7.0",2024,25,"NOR",2,0,"7.0","10.0","3.5","5.00","RB"
526,"Samuel Eguavoen","0.0",2024,31,"NYJ",17,1,"0.0","0.0","0.00","0.00","LB"
527,"Liam Eichenberg","0.0",2024,26,"MIA",17,14,"0.0","0.0","0.00","0.00","RG"
528,"Tommy Eichenberg","0.0",2024,23,"LVR",14,1,"0.0","0.0","0.00","0.00","LB"
529,"Milo Eifler","0.0",2024,26,"ARI",2,0,"0.0","0.0","0.00","0.00","LB"
530,"Austin Ekeler","97.3",2024,29,"WAS",12,6,"97.3","132.3","8.11","11.03","RB"
531,"Daniel Ekuale","0.0",2024,30,"NWE",16,16,"0.0","0.0","0.00","0.00","RDE"
532,"Ikem Ekwonu","0.0",2024,24,"CAR",15,15,"0.0","0.0","0.00","0.00","LT"
533,"Kaiir Elam","0.0",2024,23,"BUF",13,4,"0.0","0.0","0.00","0.00","CB"
534,"DeShon Elliott","0.0",2024,27,"PIT",15,14,"0.0","0.0","0.00","0.00","FS"
535,"Ezekiel Elliott","45.5",2024,29,"DAL",15,2,"45.5","57.5","3.03","3.83","RB"
536,"Jake Elliott","133.0",2024,29,"PHI",17,0,"133.0","133.0","7.82","7.82","K"
537,"Jalen Elliott","0.0",2024,26,"PIT",2,0,"0.0","0.0","0.00","0.00","S"
538,"Jordan Elliott","0.0",2024,27,"SFO",15,13,"0.0","0.0","0.00","0.00","RDT"
539,"Christian Elliss","0.0",2024,25,"NWE",16,5,"0.0","0.0","0.00","0.00","LILB"
540,"Jonah Elliss","0.0",2024,21,"DEN",17,0,"0.0","0.0","0.00","0.00","OLB"
541,"Kaden Elliss","0.0",2024,29,"ATL",17,17,"0.0","0.0","0.00","0.00","RILB"
542,"Jermaine Eluemunor","0.0",2024,30,"NYG",15,15,"0.0","0.0","0.00","0.00","RT"
543,"Martin Emerson","0.0",2024,24,"CLE",17,15,"0.0","0.0","0.00","0.00","RCB"
544,"Kingsley Enagbare","0.0",2024,24,"GNB",17,7,"0.0","0.0","0.00","0.00","DL"
545,"Evan Engram","42.5",2024,30,"JAX",9,9,"42.5","89.5","4.72","9.94","TE"
