"Id","Player","FantPt","Season","Age","Team","G","GS","FantPt","PPR","FantPt","PPR/G","Pos"
62,"Daijahn Anthony","0.0",2024,24,"CIN",13,0,"0.0","0.0","0.00","0.00","S"
63,"Felix Anudike-Uzomah","0.0",2024,22,"KAN",17,3,"0.0","0.0","0.00","0.00","DE"
64,"Chigozie Anusiem","0.0",2024,24,"CLE",1,0,"0.0","0.0","0.00","0.00","CB"
65,"Alex Anzalone","0.0",2024,30,"DET",10,10,"0.0","0.0","0.00","0.00","LLB"
66,"Eli Apple","0.0",2024,29,"LAC",4,0,"0.0","0.0","0.00","0.00","CB"
67,"Matt Araiza","0.0",2024,24,"KAN",17,0,"0.0","0.0","0.00","0.00","P"
68,"AJ Arcuri","0.0",2024,27,"LAR",2,0,"0.0","0.0","0.00","0.00","OL"
69,"Jalyn Armour-Davis","0.0",2024,25,"BAL",7,2,"0.0","0.0","0.00","0.00","CB"
70,"Arik Armstead","0.0",2024,31,"JAX",17,1,"0.0","0.0","0.00","0.00","DE"
71,"Terron Armstead","0.0",2024,33,"MIA",15,15,"0.0","0.0","0.00","0.00","LT"
72,"Dorance Armstrong Jr.","0.0",2024,27,"WAS",16,15,"0.0","0.0","0.00","0.00","RDE"
73,"Terrion Arnold","0.0",2024,21,"DET",16,15,"0.0","0.0","0.00","0.00","RCB"
74,"Brian Asamoah","0.0",2024,24,"MIN",17,0,"0.0","0.0","0.00","0.00","LB"
75,"Tutu Atwell","56.9",2024,25,"LAR",17,5,"56.9","98.9","3.35","5.82","WR"
76,"Brandon Aubrey","178.0",2024,29,"DAL",17,0,"178.0","178.0","10.47","10.47","K"
77,"Malaesala Aumavae-Laulu","0.0",2024,25,"BAL",2,0,"0.0","0.0","0.00","0.00","G"
78,"Alex Austin","0.0",2024,23,"NWE",9,3,"0.0","0.0","0.00","0.00","CB"
79,"Calvin Austin III","82.8",2024,25,"PIT",17,8,"82.8","118.8","4.87","6.99","WR"
80,"Kevin Austin","16.0",2024,24,"NOR",8,2,"16.0","27.0","2.00","3.38","WR"
81,"Denico Autry","0.0",2024,34,"HOU",10,2,"0.0","0.0","0.00","0.00","DE"
82,"Genard Avery","0.0",2024,29,"IND",1,0,"0.0","0.0","0.00","0.00","DE"
83,"Tre Avery","0.0",2024,27,"TEN",9,0,"0.0","0.0","0.00","0.00","CB"
84,"Steve Avila","0.0",2024,25,"LAR",10,10,"0.0","0.0","0.00","0.00","LG"
85,"Kayode Awosika","0.0",2024,26,"DET",11,2,"0.0","0.0","0.00","0.00","G"
86,"Chidobe Awuzie","0.0",2024,29,"TEN",8,7,"0.0","0.0","0.00","0.00","CB"
87,"Joe Bachie","0.0",2024,26,"CIN",12,0,"0.0","0.0","0.00","0.00","LB"
88,"Alex Bachman","3.1",2024,28,"LVR",6,1,"3.1","6.1","0.52","1.02","WR"
89,"Tyler Badie","6.4",2024,24,"DEN",3,0,"6.4","9.4","2.13","3.13","RB"
90,"Jake Bailey","0.0",2024,27,"MIA",17,0,"0.0","0.0","0.00","0.00","P"
91,"Levelle Bailey","0.0",2024,24,"DEN",10,0,"0.0","0.0","0.00","0.00","LB"
92,"Markus Bailey","0.0",2024,27,"ARI",1,0,"0.0","0.0","0.00","0.00","LB"
93,"Zack Bailey","0.0",2024,29,"NYJ",1,0,"0.0","0.0","0.00","0.00","OL"
94,"Budda Baker","0.0",2024,28,"ARI",17,17,"0.0","0.0","0.00","0.00","FS"
95,"Darrell Baker","0.0",2024,26,"TEN",17,9,"0.0","0.0","0.00","0.00","RCB"
96,"Javon Baker","1.2",2024,22,"NWE",11,1,"1.2","2.2","0.11","0.2","WR"
97,"Jerome Baker","0.0",2024,28,"TEN,SEA",10,8,"0.0","0.0","0.00","0.00","LB"
98,"Corey Ballentine","0.0",2024,28,"GNB",15,1,"0.0","0.0","0.00","0.00","CB"
99,"Aaron Banks","0.0",2024,27,"SFO",13,13,"0.0","0.0","0.00","0.00","LG"
100,"Deonte Banks","0.0",2024,23,"NYG",14,14,"0.0","0.0","0.00","0.00","RCB"
101,"Keshawn Banks","0.0",2024,25,"NWE",3,0,"0.0","0.0","0.00","0.00","LB"
102,"Bryce Baringer","0.0",2024,25,"NWE",17,0,"0.0","0.0","0.00","0.00","P"
103,"Saquon Barkley","322.3",2024,27,"PHI",16,16,"322.3","355.3","20.14","22.21","RB"
104,"Christian Barmore","0.0",2024,25,"NWE",4,0,"0.0","0.0","0.00","0.00","DT"
105,"AJ Barner","48.5",2024,22,"SEA",17,6,"48.5","78.5","2.85","4.62","TE"
106,"Derrick Barnes","0.0",2024,25,"DET",3,3,"0.0","0.0","0.00","0.00","LB"
107,"Krys Barnes","0.0",2024,26,"ARI",17,0,"0.0","0.0","0.00","0.00","LB"
108,"Derek Barnett","0.0",2024,28,"HOU",16,1,"0.0","0.0","0.00","0.00","DE"
109,"Amare Barno","0.0",2024,25,"CAR",5,0,"0.0","0.0","0.00","0.00","OLB"
110,"Alex Barrett","0.0",2024,30,"SFO",3,0,"0.0","0.0","0.00","0.00","DL"
111,"Shaquil Barrett","0.0",2024,32,"TAM",1,0,"0.0","0.0","0.00","0.00","OLB"
112,"Ben Bartch","0.0",2024,26,"SFO",3,2,"0.0","0.0","0.00","0.00","OL"
113,"Shemar Bartholomew","0.0",2024,24,"CAR",5,0,"0.0","0.0","0.00","0.00","CB"
114,"Cody Barton","0.0",2024,28,"DEN",17,14,"0.0","0.0","0.00","0.00","LILB"
115,"Graham Barton","0.0",2024,22,"TAM",16,16,"0.0","0.0","0.00","0.00","C"
116,"Jackson Barton","0.0",2024,29,"ARI",4,2,"0.0","0.0","0.00","0.00","OL"
117,"Boogie Basham","0.0",2024,27,"NYG",4,0,"0.0","0.0","0.00","0.00","OLB"
118,"T.J. Bass","0.0",2024,25,"DAL",15,3,"0.0","0.0","0.00","0.00","G"
119,"Tyler Bass","139.0",2024,27,"BUF",17,0,"139.0","139.0","8.18","8.18","K"
120,"Rashod Bateman","129.6",2024,25,"BAL",17,14,"129.6","174.6","7.62","10.27","WR"
121,"Brenden Bates","0.0",2024,25,"CLE,NYJ",7,0,"0.0","0.0","0.00","0.00","TE"
122,"Jake Bates","154.0",2024,25,"DET",17,0,"154.0","154.0","9.06","9.06","K"
123,"Jessie Bates III","0.0",2024,27,"ATL",17,17,"0.0","0.0","0.00","0.00","SS"
124,"John Bates","6.4",2024,27,"WAS",17,6,"6.4","14.4","0.38","0.85","TE"
125,"Ryan Bates","0.0",2024,27,"CHI",3,2,"0.0","0.0","0.00","0.00","OL"
126,"Jordan Battle","0.0",2024,24,"CIN",17,6,"0.0","0.0","0.00","0.00","S"
127,"Miles Battle","0.0",2024,24,"NWE",1,0,"0.0","0.0","0.00","0.00","CB"
128,"Zack Baun","0.0",2024,28,"PHI",16,16,"0.0","0.0","0.00","0.00","LLB"
129,"Kelvin Beachum","0.0",2024,35,"ARI",16,12,"0.0","0.0","0.00","0.00","RT"
130,"Robert Beal","0.0",2024,25,"SFO",14,0,"0.0","0.0","0.00","0.00","DL"
131,"Abraham Beauplan","0.0",2024,24,"DET",3,0,"0.0","0.0","0.00","0.00","LB"
132,"Andrew Beck","0.0",2024,28,"GNB,HOU",4,0,"0.0","0.0","0.00","0.00","FB"
133,"Odell Beckham Jr.","5.5",2024,32,"MIA",9,0,"5.5","14.5","0.61","1.61","WR"
134,"Mekhi Becton","0.0",2024,25,"PHI",15,15,"0.0","0.0","0.00","0.00","RG"
135,"Cooper Beebe","0.0",2024,23,"DAL",16,16,"0.0","0.0","0.00","0.00","C"
136,"D'Anthony Bell","0.0",2024,28,"CLE",17,1,"0.0","0.0","0.00","0.00","S"
137,"David Bell","2.7",2024,24,"CLE",1,0,"2.7","5.7","2.7","5.7","WR"
138,"Jaheim Bell","2.0",2024,23,"NWE",15,0,"2.0","4.0","0.13","0.27","TE"
139,"Markquese Bell","0.0",2024,25,"DAL",9,0,"0.0","0.0","0.00","0.00","S"
140,"Quinton Bell","0.0",2024,28,"MIA",17,3,"0.0","0.0","0.00","0.00","LB"
141,"Ronnie Bell","2.2",2024,24,"SFO",9,0,"2.2","4.2","0.24","0.47","WR"
142,"Vonn Bell","0.0",2024,30,"CIN",17,11,"0.0","0.0","0.00","0.00","FS"
143,"Daniel Bellinger","12.5",2024,24,"NYG",17,8,"12.5","26.5","0.74","1.56","TE"
144,"Nick Bellore","0.0",2024,35,"WAS",16,0,"0.0","0.0","0.00","0.00","LB"
145,"Dane Belton","1.0",2024,24,"NYG",17,6,"1.0","1.0","0.06","0.06","S"
146,"Christian Benford","0.0",2024,24,"BUF",15,15,"0.0","0.0","0.00","0.00","RCB"
147,"Jakorian Bennett","0.0",2024,24,"LVR",10,7,"0.0","0.0","0.00","0.00","CB"
148,"Trey Benson","41.0",2024,21,"ARI",13,1,"41.0","47.0","3.15","3.62","RB"
149,"Ja'Whaun Bentley","0.0",2024,28,"NWE",2,2,"0.0","0.0","0.00","0.00","LB"
150,"Keeanu Benton","0.0",2024,23,"PIT",17,14,"0.0","0.0","0.00","0.00","NT"
151,"Matthew Bergeron","0.0",2024,24,"ATL",17,17,"0.0","0.0","0.00","0.00","LG"
152,"Terrel Bernard","0.0",2024,25,"BUF",13,13,"0.0","0.0","0.00","0.00","MLB"
153,"Jarrick Bernard-Converse","0.0",2024,24,"NYJ",7,0,"0.0","0.0","0.00","0.00","CB"
